指标名称,焦煤：竞拍流拍率（日）
2025-09-02 00:00:00,35.94
2025-09-01 00:00:00,21.65
2025-08-29 00:00:00,59.84
2025-08-28 00:00:00,21.59
2025-08-27 00:00:00,26.52
2025-08-26 00:00:00,5.09
2025-08-25 00:00:00,12.76
2025-08-22 00:00:00,8.26
2025-08-21 00:00:00,17.95
2025-08-20 00:00:00,25.5
2025-08-19 00:00:00,42.6
2025-08-18 00:00:00,44.48
2025-08-15 00:00:00,31.61
2025-08-14 00:00:00,12.28
2025-08-13 00:00:00,30.75
2025-08-12 00:00:00,14.78
2025-08-11 00:00:00,38.76
2025-08-08 00:00:00,0.0
2025-08-07 00:00:00,19.86
2025-08-06 00:00:00,25.31
2025-08-05 00:00:00,11.87
2025-08-04 00:00:00,22.87
2025-08-01 00:00:00,0.0
2025-07-31 00:00:00,11.49
2025-07-30 00:00:00,9.8
2025-07-29 00:00:00,25.14
2025-07-28 00:00:00,14.71
2025-07-25 00:00:00,0.0
2025-07-24 00:00:00,0.0
2025-07-23 00:00:00,9.33
2025-07-22 00:00:00,11.48
2025-07-21 00:00:00,7.69
2025-07-18 00:00:00,13.29
2025-07-17 00:00:00,32.42
2025-07-16 00:00:00,0.5
2025-07-15 00:00:00,2.07
2025-07-14 00:00:00,10.6
2025-07-11 00:00:00,2.34
2025-07-10 00:00:00,8.11
2025-07-09 00:00:00,1.38
2025-07-08 00:00:00,4.67
2025-07-07 00:00:00,1.33
2025-07-04 00:00:00,9.49
2025-07-03 00:00:00,20.83
2025-07-02 00:00:00,5.25
2025-07-01 00:00:00,11.39
2025-06-30 00:00:00,0.0
2025-06-27 00:00:00,7.18
2025-06-26 00:00:00,14.87
2025-06-25 00:00:00,18.93
2025-06-24 00:00:00,13.3
2025-06-23 00:00:00,9.38
2025-06-20 00:00:00,34.58
2025-06-19 00:00:00,38.5
2025-06-18 00:00:00,38.46
2025-06-17 00:00:00,6.64
2025-06-16 00:00:00,20.07
2025-06-13 00:00:00,43.13
2025-06-12 00:00:00,37.76
2025-06-11 00:00:00,40.52
2025-06-10 00:00:00,42.89
2025-06-09 00:00:00,23.09
2025-06-06 00:00:00,45.42
2025-06-05 00:00:00,35.98
2025-06-04 00:00:00,35.95
2025-06-03 00:00:00,40.29
2025-05-30 00:00:00,64.39
2025-05-29 00:00:00,33.84
2025-05-28 00:00:00,59.1
2025-05-27 00:00:00,29.07
2025-05-26 00:00:00,37.9
2025-05-23 00:00:00,63.54
2025-05-22 00:00:00,38.99
2025-05-21 00:00:00,49.62
2025-05-20 00:00:00,55.33
2025-05-19 00:00:00,45.73
2025-05-16 00:00:00,58.03
2025-05-15 00:00:00,47.86
2025-05-14 00:00:00,44.71
2025-05-13 00:00:00,20.14
2025-05-12 00:00:00,30.24
2025-05-09 00:00:00,26.6
2025-05-08 00:00:00,44.02
2025-05-07 00:00:00,20.13
2025-05-06 00:00:00,48.87
2025-04-30 00:00:00,24.67
2025-04-29 00:00:00,41.18
2025-04-28 00:00:00,44.34
2025-04-27 00:00:00,53.26
2025-04-25 00:00:00,24.64
2025-04-24 00:00:00,41.85
2025-04-23 00:00:00,54.49
2025-04-22 00:00:00,40.01
2025-04-21 00:00:00,19.95
2025-04-18 00:00:00,34.06
2025-04-17 00:00:00,33.17
2025-04-16 00:00:00,18.97
2025-04-15 00:00:00,27.06
2025-04-14 00:00:00,47.12
2025-04-11 00:00:00,51.46
2025-04-10 00:00:00,43.78
2025-04-09 00:00:00,38.09
2025-04-08 00:00:00,25.36
2025-04-07 00:00:00,7.24
2025-04-03 00:00:00,8.63
2025-04-02 00:00:00,9.79
2025-04-01 00:00:00,8.12
2025-03-31 00:00:00,3.46
2025-03-28 00:00:00,17.75
2025-03-27 00:00:00,5.06
2025-03-26 00:00:00,22.08
2025-03-25 00:00:00,19.83
2025-03-24 00:00:00,11.5
2025-03-21 00:00:00,31.81
2025-03-20 00:00:00,20.27
2025-03-19 00:00:00,21.21
2025-03-18 00:00:00,12.29
2025-03-17 00:00:00,21.68
2025-03-14 00:00:00,49.71
2025-03-13 00:00:00,0.0
2025-03-12 00:00:00,28.81
2025-03-11 00:00:00,9.27
2025-03-10 00:00:00,16.43
2025-03-07 00:00:00,34.67
2025-03-06 00:00:00,31.25
2025-03-05 00:00:00,28.74
2025-03-04 00:00:00,5.88
2025-03-03 00:00:00,6.52
2025-02-28 00:00:00,57.06
2025-02-27 00:00:00,39.05
2025-02-26 00:00:00,27.82
2025-02-25 00:00:00,19.58
2025-02-24 00:00:00,7.87
2025-02-21 00:00:00,41.1
2025-02-20 00:00:00,34.67
2025-02-19 00:00:00,30.15
2025-02-18 00:00:00,19.84
2025-02-17 00:00:00,35.29
2025-02-14 00:00:00,57.89
2025-02-13 00:00:00,7.58
2025-02-12 00:00:00,40.71
2025-02-11 00:00:00,13.61
2025-02-10 00:00:00,32.17
2025-02-08 00:00:00,38.21
2025-02-07 00:00:00,18.77
2025-02-05 00:00:00,17.47
2025-01-26 00:00:00,41.79
2025-01-24 00:00:00,64.22
2025-01-23 00:00:00,46.15
2025-01-22 00:00:00,11.38
2025-01-21 00:00:00,7.14
2025-01-20 00:00:00,24.05
2025-01-17 00:00:00,26.79
2025-01-16 00:00:00,16.67
2025-01-15 00:00:00,20.32
2025-01-14 00:00:00,8.24
2025-01-13 00:00:00,27.39
2025-01-10 00:00:00,45.56
2025-01-09 00:00:00,1.69
2025-01-08 00:00:00,58.8
2025-01-07 00:00:00,7.19
2025-01-06 00:00:00,4.87
2025-01-03 00:00:00,31.7
2025-01-02 00:00:00,15.07
2024-12-31 00:00:00,44.24
2024-12-30 00:00:00,19.26
2024-12-27 00:00:00,35.21
2024-12-26 00:00:00,56.37
2024-12-25 00:00:00,70.79
2024-12-24 00:00:00,54.97
2024-12-23 00:00:00,44.92
2024-12-20 00:00:00,79.44
2024-12-19 00:00:00,48.04
2024-12-18 00:00:00,43.5
2024-12-17 00:00:00,43.94
2024-12-16 00:00:00,33.26
2024-12-13 00:00:00,50.74
2024-12-12 00:00:00,67.9
2024-12-11 00:00:00,40.86
2024-12-10 00:00:00,8.66
2024-12-09 00:00:00,14.07
2024-12-06 00:00:00,9.18
2024-12-05 00:00:00,7.22
2024-12-04 00:00:00,29.66
2024-12-03 00:00:00,14.18
2024-12-02 00:00:00,2.25
2024-11-29 00:00:00,29.22
2024-11-28 00:00:00,23.65
2024-11-27 00:00:00,43.35
2024-11-26 00:00:00,19.06
2024-11-25 00:00:00,31.38
2024-11-22 00:00:00,26.07
2024-11-21 00:00:00,42.79
2024-11-20 00:00:00,15.68
2024-11-19 00:00:00,27.34
2024-11-18 00:00:00,24.1
2024-11-15 00:00:00,30.32
2024-11-14 00:00:00,40.98
2024-11-13 00:00:00,41.74
2024-11-12 00:00:00,31.56
2024-11-11 00:00:00,6.7
2024-11-08 00:00:00,12.29
2024-11-07 00:00:00,28.51
2024-11-06 00:00:00,15.93
2024-11-05 00:00:00,12.09
2024-11-04 00:00:00,9.3
2024-11-01 00:00:00,47.0
2024-10-31 00:00:00,16.57
2024-10-30 00:00:00,1.24
2024-10-29 00:00:00,11.17
2024-10-28 00:00:00,7.2
2024-10-25 00:00:00,22.59
2024-10-24 00:00:00,26.38
2024-10-23 00:00:00,46.34
2024-10-22 00:00:00,51.18
2024-10-21 00:00:00,23.82
2024-10-18 00:00:00,42.23
2024-10-17 00:00:00,30.86
2024-10-16 00:00:00,38.16
2024-10-15 00:00:00,18.94
2024-10-14 00:00:00,16.24
2024-10-12 00:00:00,1.52
2024-10-11 00:00:00,22.06
2024-10-10 00:00:00,4.97
2024-10-09 00:00:00,6.11
2024-10-08 00:00:00,4.68
2024-09-30 00:00:00,2.71
2024-09-29 00:00:00,5.66
2024-09-27 00:00:00,10.54
2024-09-26 00:00:00,11.32
2024-09-25 00:00:00,9.96
2024-09-24 00:00:00,6.1
2024-09-23 00:00:00,9.55
2024-09-20 00:00:00,13.15
2024-09-19 00:00:00,2.92
2024-09-18 00:00:00,11.71
2024-09-14 00:00:00,30.32
2024-09-13 00:00:00,3.87
2024-09-12 00:00:00,1.44
2024-09-11 00:00:00,43.87
2024-09-10 00:00:00,26.69
2024-09-09 00:00:00,25.68
2024-09-06 00:00:00,25.74
2024-09-05 00:00:00,19.13
2024-09-04 00:00:00,20.84
2024-09-03 00:00:00,11.67
2024-09-02 00:00:00,7.25
2024-08-30 00:00:00,6.51
2024-08-29 00:00:00,0.0
2024-08-28 00:00:00,3.36
2024-08-27 00:00:00,3.39
2024-08-26 00:00:00,11.07
2024-08-23 00:00:00,23.53
2024-08-22 00:00:00,28.56
2024-08-21 00:00:00,31.18
2024-08-20 00:00:00,37.95
2024-08-19 00:00:00,41.08
2024-08-16 00:00:00,31.13
2024-08-15 00:00:00,71.58
2024-08-14 00:00:00,53.04
2024-08-13 00:00:00,13.75
2024-08-12 00:00:00,30.16
2024-08-09 00:00:00,64.86
2024-08-08 00:00:00,45.31
2024-08-07 00:00:00,44.59
2024-08-06 00:00:00,27.94
2024-08-05 00:00:00,26.17
2024-08-02 00:00:00,8.0
2024-08-01 00:00:00,42.03
2024-07-31 00:00:00,57.9
2024-07-30 00:00:00,22.12
2024-07-29 00:00:00,36.62
2024-07-26 00:00:00,8.73
2024-07-25 00:00:00,29.46
2024-07-24 00:00:00,52.73
2024-07-23 00:00:00,18.98
2024-07-22 00:00:00,27.11
2024-07-19 00:00:00,0.29
2024-07-18 00:00:00,12.36
2024-07-17 00:00:00,21.56
2024-07-16 00:00:00,27.06
2024-07-15 00:00:00,6.13
2024-07-12 00:00:00,29.87
2024-07-11 00:00:00,2.69
2024-07-09 00:00:00,8.61
2024-07-08 00:00:00,13.15
2024-07-05 00:00:00,7.74
2024-07-04 00:00:00,1.64
2024-07-03 00:00:00,12.1
2024-07-02 00:00:00,8.66
2024-07-01 00:00:00,1.44
2024-06-28 00:00:00,0.68
2024-06-27 00:00:00,0.0
2024-06-26 00:00:00,22.59
2024-06-25 00:00:00,2.77
2024-06-24 00:00:00,26.21
2024-06-21 00:00:00,50.43
2024-06-20 00:00:00,8.58
2024-06-19 00:00:00,11.35
2024-06-18 00:00:00,3.63
2024-06-17 00:00:00,7.79
2024-06-14 00:00:00,6.0
2024-06-13 00:00:00,6.09
2024-06-12 00:00:00,17.62
2024-06-11 00:00:00,14.1
2024-06-07 00:00:00,7.88
2024-06-06 00:00:00,22.9
2024-06-05 00:00:00,18.71
2024-06-04 00:00:00,8.77
2024-06-03 00:00:00,11.42
2024-05-31 00:00:00,0.0
2024-05-30 00:00:00,11.42
2024-05-29 00:00:00,1.55
2024-05-28 00:00:00,10.87
2024-05-27 00:00:00,10.31
2024-05-24 00:00:00,17.24
2024-05-23 00:00:00,0.0
2024-05-22 00:00:00,17.69
2024-05-20 00:00:00,22.15
2024-05-17 00:00:00,36.79
2024-05-16 00:00:00,46.04
2024-05-15 00:00:00,52.53
2024-05-14 00:00:00,50.57
2024-05-13 00:00:00,20.51
2024-05-11 00:00:00,8.57
2024-05-10 00:00:00,15.52
2024-05-09 00:00:00,4.19
2024-05-08 00:00:00,14.0
2024-05-07 00:00:00,27.41
2024-05-06 00:00:00,0.55
2024-04-30 00:00:00,23.22
2024-04-29 00:00:00,11.7
2024-04-28 00:00:00,5.34
2024-04-26 00:00:00,7.36
2024-04-25 00:00:00,7.69
2024-04-24 00:00:00,3.26
2024-04-23 00:00:00,8.68
2024-04-22 00:00:00,21.87
2024-04-19 00:00:00,13.89
2024-04-18 00:00:00,0.73
2024-04-17 00:00:00,4.55
2024-04-16 00:00:00,0.0
2024-04-15 00:00:00,0.0
2024-04-12 00:00:00,28.46
2024-04-11 00:00:00,5.41
2024-04-10 00:00:00,12.01
2024-04-09 00:00:00,4.08
2024-04-08 00:00:00,46.0
2024-04-07 00:00:00,42.42
2024-04-03 00:00:00,32.79
2024-04-02 00:00:00,9.39
2024-04-01 00:00:00,46.0
2024-03-29 00:00:00,0.0
2024-03-28 00:00:00,14.97
2024-03-27 00:00:00,17.95
2024-03-26 00:00:00,7.23
2024-03-25 00:00:00,13.27
2024-03-22 00:00:00,10.08
2024-03-21 00:00:00,31.96
2024-03-20 00:00:00,55.38
2024-03-19 00:00:00,45.53
2024-03-18 00:00:00,44.2
2024-03-15 00:00:00,42.4
2024-03-14 00:00:00,22.67
2024-03-13 00:00:00,70.1
2024-03-12 00:00:00,71.04
2024-03-11 00:00:00,71.76
2024-03-08 00:00:00,44.0
2024-03-07 00:00:00,19.21
2024-03-06 00:00:00,30.41
2024-03-05 00:00:00,25.22
2024-03-04 00:00:00,42.19
2024-03-01 00:00:00,12.2
2024-02-29 00:00:00,32.28
2024-02-28 00:00:00,21.43
2024-02-27 00:00:00,19.91
2024-02-26 00:00:00,27.0
2024-02-23 00:00:00,2.92
2024-02-22 00:00:00,22.55
2024-02-21 00:00:00,31.69
2024-02-20 00:00:00,56.6
2024-02-19 00:00:00,7.92
2024-02-18 00:00:00,17.14
2024-02-08 00:00:00,33.33
2024-02-07 00:00:00,18.67
2024-02-06 00:00:00,0.0
2024-02-02 00:00:00,56.38
2024-02-01 00:00:00,2.23
2024-01-31 00:00:00,22.36
2024-01-30 00:00:00,6.77
2024-01-29 00:00:00,6.04
2024-01-26 00:00:00,10.9
2024-01-25 00:00:00,26.36
2024-01-24 00:00:00,14.01
2024-01-23 00:00:00,3.56
2024-01-22 00:00:00,32.7
2024-01-19 00:00:00,10.12
2024-01-18 00:00:00,29.74
2024-01-17 00:00:00,15.65
2024-01-16 00:00:00,13.31
2024-01-15 00:00:00,28.56
2024-01-12 00:00:00,31.66
2024-01-11 00:00:00,22.54
2024-01-10 00:00:00,32.38
2024-01-09 00:00:00,23.57
2024-01-08 00:00:00,26.81
2024-01-05 00:00:00,53.09
2024-01-04 00:00:00,35.35
2024-01-03 00:00:00,31.4
2024-01-02 00:00:00,19.18
2024-01-01 00:00:00,100.0
2023-12-29 00:00:00,19.02
2023-12-28 00:00:00,32.14
2023-12-27 00:00:00,0.68
2023-12-26 00:00:00,11.48
2023-12-25 00:00:00,26.4
2023-12-22 00:00:00,29.52
2023-12-21 00:00:00,0.0
2023-12-20 00:00:00,21.32
2023-12-19 00:00:00,2.32
2023-12-18 00:00:00,2.79
2023-12-15 00:00:00,9.71
2023-12-14 00:00:00,25.51
2023-12-13 00:00:00,36.6
2023-12-12 00:00:00,30.44
2023-12-11 00:00:00,20.34
2023-12-08 00:00:00,23.29
2023-12-07 00:00:00,10.64
2023-12-06 00:00:00,20.91
2023-12-05 00:00:00,9.09
2023-12-04 00:00:00,7.79
2023-12-01 00:00:00,15.0
2023-11-30 00:00:00,6.17
2023-11-29 00:00:00,2.99
2023-11-28 00:00:00,6.06
2023-11-27 00:00:00,17.97
2023-11-24 00:00:00,8.7
2023-11-23 00:00:00,0.0
2023-11-22 00:00:00,0.94
2023-11-21 00:00:00,4.06
2023-11-20 00:00:00,0.65
2023-11-17 00:00:00,0.0
2023-11-16 00:00:00,0.0
2023-11-15 00:00:00,0.0
2023-11-14 00:00:00,3.12
2023-11-13 00:00:00,0.0
2023-11-10 00:00:00,1.9
2023-11-09 00:00:00,2.86
2023-11-08 00:00:00,5.27
2023-11-07 00:00:00,3.7
2023-11-06 00:00:00,0.0
2023-11-03 00:00:00,0.0
2023-11-02 00:00:00,26.7
2023-11-01 00:00:00,18.54
2023-10-31 00:00:00,14.92
2023-10-30 00:00:00,16.87
2023-10-27 00:00:00,10.91
2023-10-26 00:00:00,12.42
2023-10-25 00:00:00,34.15
2023-10-24 00:00:00,37.8
2023-10-23 00:00:00,5.47
2023-10-20 00:00:00,27.11
2023-10-19 00:00:00,31.41
2023-10-18 00:00:00,29.32
2023-10-17 00:00:00,3.56
2023-10-16 00:00:00,22.81
2023-10-13 00:00:00,21.98
2023-10-12 00:00:00,0.0
2023-10-11 00:00:00,0.99
2023-10-10 00:00:00,3.17
2023-10-09 00:00:00,9.4
2023-09-28 00:00:00,12.82
2023-09-27 00:00:00,10.08
2023-09-26 00:00:00,11.79
2023-09-25 00:00:00,3.7
2023-09-22 00:00:00,0.0
2023-09-21 00:00:00,0.0
2023-09-20 00:00:00,3.0
2023-09-19 00:00:00,0.99
2023-09-18 00:00:00,2.7
2023-09-15 00:00:00,0.0
2023-09-14 00:00:00,0.0
2023-09-13 00:00:00,4.02
2023-09-12 00:00:00,7.49
2023-09-11 00:00:00,14.87
2023-09-08 00:00:00,25.58
2023-09-07 00:00:00,0.0
2023-09-06 00:00:00,2.27
2023-09-05 00:00:00,2.57
2023-09-04 00:00:00,0.0
2023-09-01 00:00:00,6.81
2023-08-31 00:00:00,15.92
2023-08-30 00:00:00,2.6
2023-08-29 00:00:00,0.71
2023-08-28 00:00:00,15.33
2023-08-25 00:00:00,22.06
2023-08-24 00:00:00,0.0
2023-08-23 00:00:00,10.56
2023-08-22 00:00:00,20.44
2023-08-21 00:00:00,58.8
2023-08-18 00:00:00,20.79
2023-08-17 00:00:00,61.24
2023-08-16 00:00:00,42.72
2023-08-15 00:00:00,4.82
2023-08-14 00:00:00,34.43
2023-08-11 00:00:00,21.12
2023-08-10 00:00:00,15.2
2023-08-09 00:00:00,18.73
2023-08-08 00:00:00,10.43
2023-08-07 00:00:00,14.66
2023-08-04 00:00:00,0.0
2023-08-03 00:00:00,4.29
2023-08-02 00:00:00,1.49
2023-08-01 00:00:00,0.0
2023-07-31 00:00:00,2.47
2023-07-28 00:00:00,0.0
2023-07-27 00:00:00,0.0
2023-07-26 00:00:00,1.57
2023-07-25 00:00:00,1.04
2023-07-24 00:00:00,34.09
2023-07-21 00:00:00,4.53
2023-07-20 00:00:00,0.0
2023-07-19 00:00:00,0.0
2023-07-18 00:00:00,16.67
2023-07-17 00:00:00,1.34
2023-07-14 00:00:00,2.8
2023-07-13 00:00:00,0.61
2023-07-12 00:00:00,3.21
2023-07-11 00:00:00,2.3
2023-07-10 00:00:00,0.0
2023-07-07 00:00:00,13.95
2023-07-06 00:00:00,6.37
2023-07-05 00:00:00,5.12
2023-07-04 00:00:00,0.0
2023-07-03 00:00:00,12.5
2023-06-30 00:00:00,4.66
2023-06-29 00:00:00,5.48
2023-06-28 00:00:00,80.41
2023-06-27 00:00:00,25.93
2023-06-26 00:00:00,34.15
2023-06-21 00:00:00,1.17
2023-06-20 00:00:00,0.0
2023-06-19 00:00:00,4.26
2023-06-16 00:00:00,0.0
2023-06-15 00:00:00,6.31
2023-06-14 00:00:00,0.0
2023-06-13 00:00:00,0.0
2023-06-12 00:00:00,9.9
2023-06-09 00:00:00,29.41
2023-06-08 00:00:00,2.72
2023-06-07 00:00:00,17.52
2023-06-06 00:00:00,25.0
2023-06-05 00:00:00,3.91
2023-06-02 00:00:00,14.4
2023-06-01 00:00:00,14.29
2023-05-31 00:00:00,23.08
2023-05-30 00:00:00,40.32
2023-05-29 00:00:00,14.63
2023-05-26 00:00:00,10.92
2023-05-25 00:00:00,1.64
2023-05-24 00:00:00,2.08
2023-05-23 00:00:00,3.73
2023-05-22 00:00:00,2.22
2023-05-19 00:00:00,0.0
2023-05-18 00:00:00,23.67
2023-05-17 00:00:00,15.01
2023-05-16 00:00:00,16.46
2023-05-15 00:00:00,10.08
2023-05-12 00:00:00,50.0
2023-05-11 00:00:00,30.63
2023-05-10 00:00:00,36.89
2023-05-09 00:00:00,19.24
2023-05-08 00:00:00,42.88
2023-05-05 00:00:00,65.57
2023-05-04 00:00:00,17.7
2023-04-28 00:00:00,42.59
2023-04-27 00:00:00,50.0
2023-04-26 00:00:00,31.64
2023-04-25 00:00:00,33.95
2023-04-24 00:00:00,41.1
2023-04-21 00:00:00,12.03
2023-04-20 00:00:00,39.22
2023-04-19 00:00:00,48.0
2023-04-18 00:00:00,1.81
2023-04-17 00:00:00,7.95
2023-04-14 00:00:00,23.22
2023-04-13 00:00:00,16.22
2023-04-12 00:00:00,20.85
2023-04-11 00:00:00,17.3
2023-04-10 00:00:00,21.37
2023-04-07 00:00:00,11.3
2023-04-06 00:00:00,35.48
2023-04-05 00:00:00,88.24
2023-04-04 00:00:00,15.03
2023-04-03 00:00:00,37.1
2023-03-31 00:00:00,5.62
2023-03-30 00:00:00,30.33
2023-03-29 00:00:00,37.82
2023-03-28 00:00:00,34.96
2023-03-27 00:00:00,24.46
2023-03-24 00:00:00,37.21
2023-03-23 00:00:00,33.33
2023-03-22 00:00:00,12.76
2023-03-21 00:00:00,24.24
2023-03-20 00:00:00,12.5
2023-03-17 00:00:00,12.87
2023-03-16 00:00:00,28.81
2023-03-15 00:00:00,4.48
2023-03-14 00:00:00,16.29
2023-03-13 00:00:00,3.65
2023-03-10 00:00:00,53.42
2023-03-09 00:00:00,12.32
2023-03-08 00:00:00,32.35
2023-03-07 00:00:00,8.41
2023-03-06 00:00:00,26.53
2023-03-03 00:00:00,16.75
2023-03-02 00:00:00,3.15
2023-03-01 00:00:00,0.0
2023-02-28 00:00:00,0.0
2023-02-27 00:00:00,0.0
2023-02-24 00:00:00,11.24
2023-02-23 00:00:00,1.49
2023-02-22 00:00:00,1.58
2023-02-21 00:00:00,8.97
2023-02-20 00:00:00,0.0
2023-02-17 00:00:00,18.14
2023-02-16 00:00:00,25.24
2023-02-15 00:00:00,44.19
2023-02-14 00:00:00,21.56
2023-02-13 00:00:00,9.15
2023-02-10 00:00:00,8.4
2023-02-09 00:00:00,45.97
2023-02-08 00:00:00,8.08
2023-02-07 00:00:00,6.81
2023-02-06 00:00:00,29.09
2023-02-03 00:00:00,22.35
2023-02-02 00:00:00,13.39
2023-02-01 00:00:00,9.11
2023-01-31 00:00:00,7.28
2023-01-30 00:00:00,40.27
2023-01-27 00:00:00,0.0
2023-01-18 00:00:00,42.29
2023-01-17 00:00:00,21.43
2023-01-16 00:00:00,52.8
2023-01-13 00:00:00,8.5
2023-01-12 00:00:00,37.91
2023-01-11 00:00:00,25.85
2023-01-10 00:00:00,18.72
2023-01-09 00:00:00,5.42
2023-01-06 00:00:00,43.4
2023-01-05 00:00:00,37.03
2023-01-04 00:00:00,22.55
2023-01-03 00:00:00,53.87
2023-01-02 00:00:00,10.44
2022-12-30 00:00:00,20.61
2022-12-29 00:00:00,24.53
2022-12-28 00:00:00,0.0
2022-12-27 00:00:00,7.99
2022-12-26 00:00:00,33.1
2022-12-23 00:00:00,42.5
2022-12-22 00:00:00,12.4
2022-12-21 00:00:00,17.99
2022-12-20 00:00:00,12.07
2022-12-19 00:00:00,28.85
2022-12-16 00:00:00,20.83
2022-12-15 00:00:00,12.08
2022-12-14 00:00:00,9.78
2022-12-13 00:00:00,16.04
2022-12-12 00:00:00,0.0
2022-12-09 00:00:00,4.14
2022-12-08 00:00:00,18.97
2022-12-07 00:00:00,1.39
2022-12-06 00:00:00,4.33
2022-12-05 00:00:00,5.75
2022-12-02 00:00:00,2.6
2022-12-01 00:00:00,2.71
2022-11-30 00:00:00,0.0
2022-11-29 00:00:00,8.27
2022-11-28 00:00:00,38.6
2022-11-25 00:00:00,22.14
2022-11-24 00:00:00,1.66
2022-11-23 00:00:00,12.84
2022-11-22 00:00:00,12.03
2022-11-21 00:00:00,26.83
2022-11-18 00:00:00,15.77
2022-11-17 00:00:00,10.98
2022-11-16 00:00:00,50.82
2022-11-15 00:00:00,8.32
2022-11-14 00:00:00,15.7
2022-11-11 00:00:00,32.8
2022-11-10 00:00:00,4.76
2022-11-09 00:00:00,9.81
2022-11-08 00:00:00,0.76
2022-11-07 00:00:00,15.11
2022-11-04 00:00:00,71.61
2022-11-03 00:00:00,3.44
2022-11-02 00:00:00,29.33
2022-11-01 00:00:00,19.43
2022-10-31 00:00:00,30.84
2022-10-28 00:00:00,31.59
2022-10-27 00:00:00,25.98
2022-10-26 00:00:00,29.2
2022-10-25 00:00:00,17.11
2022-10-24 00:00:00,11.02
2022-10-21 00:00:00,49.69
2022-10-20 00:00:00,26.6
2022-10-19 00:00:00,34.62
2022-10-18 00:00:00,9.23
2022-10-17 00:00:00,19.85
2022-10-14 00:00:00,8.9
2022-10-13 00:00:00,0.0
2022-10-12 00:00:00,10.45
2022-10-11 00:00:00,12.5
2022-10-10 00:00:00,0.29
2022-10-07 00:00:00,24.44
2022-10-03 00:00:00,0.0
2022-09-30 00:00:00,18.34
2022-09-29 00:00:00,1.81
2022-09-28 00:00:00,14.52
2022-09-27 00:00:00,8.09
2022-09-26 00:00:00,2.36
2022-09-23 00:00:00,32.12
2022-09-22 00:00:00,1.86
2022-09-21 00:00:00,7.74
2022-09-20 00:00:00,2.8
2022-09-19 00:00:00,0.0
2022-09-16 00:00:00,0.0
2022-09-15 00:00:00,2.71
2022-09-14 00:00:00,0.0
2022-09-13 00:00:00,19.27
