指标名称,美国：季调失业率（月）
2006-08-31 00:00:00,4.7
2006-07-31 00:00:00,4.7
2006-06-30 00:00:00,4.6
2006-05-31 00:00:00,4.6
2006-04-30 00:00:00,4.7
2006-03-31 00:00:00,4.7
2006-02-28 00:00:00,4.8
2006-01-31 00:00:00,4.7
2005-12-31 00:00:00,4.9
2005-11-30 00:00:00,5.0
2005-10-31 00:00:00,5.0
2005-09-30 00:00:00,5.0
2005-08-31 00:00:00,4.9
2005-07-31 00:00:00,5.0
2005-06-30 00:00:00,5.0
2005-05-31 00:00:00,5.1
2005-04-30 00:00:00,5.2
2005-03-31 00:00:00,5.2
2005-02-28 00:00:00,5.4
2005-01-31 00:00:00,5.3
2004-12-31 00:00:00,5.4
2004-11-30 00:00:00,5.4
2004-10-31 00:00:00,5.5
2004-09-30 00:00:00,5.4
2004-08-31 00:00:00,5.4
2004-07-31 00:00:00,5.5
2004-06-30 00:00:00,5.6
2004-05-31 00:00:00,5.6
2004-04-30 00:00:00,5.6
2004-03-31 00:00:00,5.8
2004-02-29 00:00:00,5.6
2004-01-31 00:00:00,5.7
2003-12-31 00:00:00,5.7
2003-11-30 00:00:00,5.8
2003-10-31 00:00:00,6.0
2003-09-30 00:00:00,6.1
2003-08-31 00:00:00,6.1
2003-07-31 00:00:00,6.2
2003-06-30 00:00:00,6.3
2003-05-31 00:00:00,6.1
2003-04-30 00:00:00,6.0
2003-03-31 00:00:00,5.9
2003-02-28 00:00:00,5.9
2003-01-31 00:00:00,5.8
2002-12-31 00:00:00,6.0
2002-11-30 00:00:00,5.9
2002-10-31 00:00:00,5.7
2002-09-30 00:00:00,5.7
2002-08-31 00:00:00,5.7
2002-07-31 00:00:00,5.8
2002-06-30 00:00:00,5.8
2002-05-31 00:00:00,5.8
2002-04-30 00:00:00,5.9
2002-03-31 00:00:00,5.7
2002-02-28 00:00:00,5.7
2002-01-31 00:00:00,5.7
2001-12-31 00:00:00,5.7
2001-11-30 00:00:00,5.5
2001-10-31 00:00:00,5.3
2001-09-30 00:00:00,5.0
2001-08-31 00:00:00,4.9
2001-07-31 00:00:00,4.6
2001-06-30 00:00:00,4.5
2001-05-31 00:00:00,4.3
2001-04-30 00:00:00,4.4
2001-03-31 00:00:00,4.3
2001-02-28 00:00:00,4.2
2001-01-31 00:00:00,4.2
2000-12-31 00:00:00,3.9
2000-11-30 00:00:00,3.9
2000-10-31 00:00:00,3.9
2000-09-30 00:00:00,3.9
2000-08-31 00:00:00,4.1
2000-07-31 00:00:00,4.0
2000-06-30 00:00:00,4.0
2000-05-31 00:00:00,4.0
2000-04-30 00:00:00,3.8
2000-03-31 00:00:00,4.0
2000-02-29 00:00:00,4.1
2000-01-31 00:00:00,4.0
1999-12-31 00:00:00,4.0
1999-11-30 00:00:00,4.1
1999-10-31 00:00:00,4.1
1999-09-30 00:00:00,4.2
1999-08-31 00:00:00,4.2
1999-07-31 00:00:00,4.3
1999-06-30 00:00:00,4.3
1999-05-31 00:00:00,4.2
1999-04-30 00:00:00,4.3
1999-03-31 00:00:00,4.2
1999-02-28 00:00:00,4.4
1999-01-31 00:00:00,4.3
1998-12-31 00:00:00,4.4
1998-11-30 00:00:00,4.4
1998-10-31 00:00:00,4.5
1998-09-30 00:00:00,4.6
1998-08-31 00:00:00,4.5
1998-07-31 00:00:00,4.5
1998-06-30 00:00:00,4.5
1998-05-31 00:00:00,4.4
1998-04-30 00:00:00,4.3
1998-03-31 00:00:00,4.7
1998-02-28 00:00:00,4.6
1998-01-31 00:00:00,4.6
1997-12-31 00:00:00,4.7
1997-11-30 00:00:00,4.6
1997-10-31 00:00:00,4.7
1997-09-30 00:00:00,4.9
1997-08-31 00:00:00,4.8
1997-07-31 00:00:00,4.9
1997-06-30 00:00:00,5.0
1997-05-31 00:00:00,4.9
1997-04-30 00:00:00,5.1
1997-03-31 00:00:00,5.2
1997-02-28 00:00:00,5.2
1997-01-31 00:00:00,5.3
1996-12-31 00:00:00,5.4
1996-11-30 00:00:00,5.4
1996-10-31 00:00:00,5.2
1996-09-30 00:00:00,5.2
1996-08-31 00:00:00,5.1
1996-07-31 00:00:00,5.5
1996-06-30 00:00:00,5.3
1996-05-31 00:00:00,5.6
1996-04-30 00:00:00,5.6
1996-03-31 00:00:00,5.5
1996-02-29 00:00:00,5.5
1996-01-31 00:00:00,5.6
1995-12-31 00:00:00,5.6
1995-11-30 00:00:00,5.6
1995-10-31 00:00:00,5.5
1995-09-30 00:00:00,5.6
1995-08-31 00:00:00,5.7
1995-07-31 00:00:00,5.7
1995-06-30 00:00:00,5.6
1995-05-31 00:00:00,5.6
1995-04-30 00:00:00,5.8
1995-03-31 00:00:00,5.4
1995-02-28 00:00:00,5.4
1995-01-31 00:00:00,5.6
1994-12-31 00:00:00,5.5
1994-11-30 00:00:00,5.6
1994-10-31 00:00:00,5.8
1994-09-30 00:00:00,5.9
1994-08-31 00:00:00,6.0
1994-07-31 00:00:00,6.1
1994-06-30 00:00:00,6.1
1994-05-31 00:00:00,6.1
1994-04-30 00:00:00,6.4
1994-03-31 00:00:00,6.5
1994-02-28 00:00:00,6.6
1994-01-31 00:00:00,6.6
1993-12-31 00:00:00,6.5
1993-11-30 00:00:00,6.6
1993-10-31 00:00:00,6.8
1993-09-30 00:00:00,6.7
1993-08-31 00:00:00,6.8
1993-07-31 00:00:00,6.9
1993-06-30 00:00:00,7.0
1993-05-31 00:00:00,7.1
1993-04-30 00:00:00,7.1
1993-03-31 00:00:00,7.0
1993-02-28 00:00:00,7.1
1993-01-31 00:00:00,7.3
1992-12-31 00:00:00,7.4
1992-11-30 00:00:00,7.4
1992-10-31 00:00:00,7.3
1992-09-30 00:00:00,7.6
1992-08-31 00:00:00,7.6
1992-07-31 00:00:00,7.7
1992-06-30 00:00:00,7.8
1992-05-31 00:00:00,7.6
1992-04-30 00:00:00,7.4
1992-03-31 00:00:00,7.4
1992-02-29 00:00:00,7.4
1992-01-31 00:00:00,7.3
1991-12-31 00:00:00,7.3
1991-11-30 00:00:00,7.0
1991-10-31 00:00:00,7.0
1991-09-30 00:00:00,6.9
1991-08-31 00:00:00,6.9
1991-07-31 00:00:00,6.8
1991-06-30 00:00:00,6.9
1991-05-31 00:00:00,6.9
1991-04-30 00:00:00,6.7
1991-03-31 00:00:00,6.8
1991-02-28 00:00:00,6.6
1991-01-31 00:00:00,6.4
1990-12-31 00:00:00,6.3
1990-11-30 00:00:00,6.2
1990-10-31 00:00:00,5.9
1990-09-30 00:00:00,5.9
1990-08-31 00:00:00,5.7
1990-07-31 00:00:00,5.5
1990-06-30 00:00:00,5.2
1990-05-31 00:00:00,5.4
1990-04-30 00:00:00,5.4
1990-03-31 00:00:00,5.2
1990-02-28 00:00:00,5.3
1990-01-31 00:00:00,5.4
1989-12-31 00:00:00,5.4
1989-11-30 00:00:00,5.4
1989-10-31 00:00:00,5.3
1989-09-30 00:00:00,5.3
1989-08-31 00:00:00,5.2
1989-07-31 00:00:00,5.2
1989-06-30 00:00:00,5.3
1989-05-31 00:00:00,5.2
1989-04-30 00:00:00,5.2
1989-03-31 00:00:00,5.0
1989-02-28 00:00:00,5.2
1989-01-31 00:00:00,5.4
1988-12-31 00:00:00,5.3
1988-11-30 00:00:00,5.3
1988-10-31 00:00:00,5.4
1988-09-30 00:00:00,5.4
1988-08-31 00:00:00,5.6
1988-07-31 00:00:00,5.4
1988-06-30 00:00:00,5.4
1988-05-31 00:00:00,5.6
1988-04-30 00:00:00,5.4
1988-03-31 00:00:00,5.7
1988-02-29 00:00:00,5.7
1988-01-31 00:00:00,5.7
1987-12-31 00:00:00,5.7
1987-11-30 00:00:00,5.8
1987-10-31 00:00:00,6.0
1987-09-30 00:00:00,5.9
1987-08-31 00:00:00,6.0
1987-07-31 00:00:00,6.1
1987-06-30 00:00:00,6.2
1987-05-31 00:00:00,6.3
1987-04-30 00:00:00,6.3
1987-03-31 00:00:00,6.6
1987-02-28 00:00:00,6.6
1987-01-31 00:00:00,6.6
1986-12-31 00:00:00,6.6
1986-11-30 00:00:00,6.9
1986-10-31 00:00:00,7.0
1986-09-30 00:00:00,7.0
1986-08-31 00:00:00,6.9
1986-07-31 00:00:00,7.0
1986-06-30 00:00:00,7.2
1986-05-31 00:00:00,7.2
1986-04-30 00:00:00,7.1
1986-03-31 00:00:00,7.2
1986-02-28 00:00:00,7.2
1986-01-31 00:00:00,6.7
1985-12-31 00:00:00,7.0
1985-11-30 00:00:00,7.0
1985-10-31 00:00:00,7.1
1985-09-30 00:00:00,7.1
1985-08-31 00:00:00,7.1
1985-07-31 00:00:00,7.4
1985-06-30 00:00:00,7.4
1985-05-31 00:00:00,7.2
1985-04-30 00:00:00,7.3
1985-03-31 00:00:00,7.2
1985-02-28 00:00:00,7.2
1985-01-31 00:00:00,7.3
1984-12-31 00:00:00,7.3
1984-11-30 00:00:00,7.2
1984-10-31 00:00:00,7.4
1984-09-30 00:00:00,7.3
1984-08-31 00:00:00,7.5
1984-07-31 00:00:00,7.5
1984-06-30 00:00:00,7.2
1984-05-31 00:00:00,7.4
1984-04-30 00:00:00,7.7
1984-03-31 00:00:00,7.8
1984-02-29 00:00:00,7.8
1984-01-31 00:00:00,8.0
1983-12-31 00:00:00,8.3
1983-11-30 00:00:00,8.5
1983-10-31 00:00:00,8.8
1983-09-30 00:00:00,9.2
1983-08-31 00:00:00,9.5
1983-07-31 00:00:00,9.4
1983-06-30 00:00:00,10.1
1983-05-31 00:00:00,10.1
1983-04-30 00:00:00,10.2
1983-03-31 00:00:00,10.3
1983-02-28 00:00:00,10.4
1983-01-31 00:00:00,10.4
1982-12-31 00:00:00,10.8
1982-11-30 00:00:00,10.8
1982-10-31 00:00:00,10.4
1982-09-30 00:00:00,10.1
1982-08-31 00:00:00,9.8
1982-07-31 00:00:00,9.8
1982-06-30 00:00:00,9.6
1982-05-31 00:00:00,9.4
1982-04-30 00:00:00,9.3
1982-03-31 00:00:00,9.0
1982-02-28 00:00:00,8.9
1982-01-31 00:00:00,8.6
1981-12-31 00:00:00,8.5
1981-11-30 00:00:00,8.3
1981-10-31 00:00:00,7.9
1981-09-30 00:00:00,7.6
1981-08-31 00:00:00,7.4
1981-07-31 00:00:00,7.2
1981-06-30 00:00:00,7.5
1981-05-31 00:00:00,7.5
1981-04-30 00:00:00,7.2
1981-03-31 00:00:00,7.4
1981-02-28 00:00:00,7.4
1981-01-31 00:00:00,7.5
1980-12-31 00:00:00,7.2
1980-11-30 00:00:00,7.5
1980-10-31 00:00:00,7.5
1980-09-30 00:00:00,7.5
1980-08-31 00:00:00,7.7
1980-07-31 00:00:00,7.8
1980-06-30 00:00:00,7.6
1980-05-31 00:00:00,7.5
1980-04-30 00:00:00,6.9
1980-03-31 00:00:00,6.3
1980-02-29 00:00:00,6.3
1980-01-31 00:00:00,6.3
1979-12-31 00:00:00,6.0
1979-11-30 00:00:00,5.9
1979-10-31 00:00:00,6.0
1979-09-30 00:00:00,5.9
1979-08-31 00:00:00,6.0
1979-07-31 00:00:00,5.7
1979-06-30 00:00:00,5.7
1979-05-31 00:00:00,5.6
1979-04-30 00:00:00,5.8
1979-03-31 00:00:00,5.8
1979-02-28 00:00:00,5.9
1979-01-31 00:00:00,5.9
1978-12-31 00:00:00,6.0
1978-11-30 00:00:00,5.9
1978-10-31 00:00:00,5.8
1978-09-30 00:00:00,6.0
1978-08-31 00:00:00,5.9
1978-07-31 00:00:00,6.2
1978-06-30 00:00:00,5.9
1978-05-31 00:00:00,6.0
1978-04-30 00:00:00,6.1
1978-03-31 00:00:00,6.3
1978-02-28 00:00:00,6.3
1978-01-31 00:00:00,6.4
1977-12-31 00:00:00,6.4
1977-11-30 00:00:00,6.8
1977-10-31 00:00:00,6.8
1977-09-30 00:00:00,6.8
1977-08-31 00:00:00,7.0
1977-07-31 00:00:00,6.9
1977-06-30 00:00:00,7.2
1977-05-31 00:00:00,7.0
1977-04-30 00:00:00,7.2
1977-03-31 00:00:00,7.4
1977-02-28 00:00:00,7.6
1977-01-31 00:00:00,7.5
1976-12-31 00:00:00,7.8
1976-11-30 00:00:00,7.8
1976-10-31 00:00:00,7.7
1976-09-30 00:00:00,7.6
1976-08-31 00:00:00,7.8
1976-07-31 00:00:00,7.8
1976-06-30 00:00:00,7.6
1976-05-31 00:00:00,7.4
1976-04-30 00:00:00,7.7
1976-03-31 00:00:00,7.6
1976-02-29 00:00:00,7.7
1976-01-31 00:00:00,7.9
1975-12-31 00:00:00,8.2
1975-11-30 00:00:00,8.3
1975-10-31 00:00:00,8.4
1975-09-30 00:00:00,8.4
1975-08-31 00:00:00,8.4
1975-07-31 00:00:00,8.6
1975-06-30 00:00:00,8.8
1975-05-31 00:00:00,9.0
1975-04-30 00:00:00,8.8
1975-03-31 00:00:00,8.6
1975-02-28 00:00:00,8.1
1975-01-31 00:00:00,8.1
1974-12-31 00:00:00,7.2
1974-11-30 00:00:00,6.6
1974-10-31 00:00:00,6.0
1974-09-30 00:00:00,5.9
1974-08-31 00:00:00,5.5
1974-07-31 00:00:00,5.5
1974-06-30 00:00:00,5.4
1974-05-31 00:00:00,5.1
1974-04-30 00:00:00,5.1
1974-03-31 00:00:00,5.1
1974-02-28 00:00:00,5.2
1974-01-31 00:00:00,5.1
1973-12-31 00:00:00,4.9
1973-11-30 00:00:00,4.8
1973-10-31 00:00:00,4.6
1973-09-30 00:00:00,4.8
1973-08-31 00:00:00,4.8
1973-07-31 00:00:00,4.8
1973-06-30 00:00:00,4.9
1973-05-31 00:00:00,4.9
1973-04-30 00:00:00,5.0
1973-03-31 00:00:00,4.9
1973-02-28 00:00:00,5.0
1973-01-31 00:00:00,4.9
1972-12-31 00:00:00,5.2
1972-11-30 00:00:00,5.3
1972-10-31 00:00:00,5.6
1972-09-30 00:00:00,5.5
1972-08-31 00:00:00,5.6
1972-07-31 00:00:00,5.6
1972-06-30 00:00:00,5.7
1972-05-31 00:00:00,5.7
1972-04-30 00:00:00,5.7
1972-03-31 00:00:00,5.8
1972-02-29 00:00:00,5.7
1972-01-31 00:00:00,5.8
1971-12-31 00:00:00,6.0
1971-11-30 00:00:00,6.0
1971-10-31 00:00:00,5.8
1971-09-30 00:00:00,6.0
1971-08-31 00:00:00,6.1
1971-07-31 00:00:00,6.0
1971-06-30 00:00:00,5.9
1971-05-31 00:00:00,5.9
1971-04-30 00:00:00,5.9
1971-03-31 00:00:00,6.0
1971-02-28 00:00:00,5.9
1971-01-31 00:00:00,5.9
1970-12-31 00:00:00,6.1
1970-11-30 00:00:00,5.9
1970-10-31 00:00:00,5.5
1970-09-30 00:00:00,5.4
1970-08-31 00:00:00,5.1
1970-07-31 00:00:00,5.0
1970-06-30 00:00:00,4.9
1970-05-31 00:00:00,4.8
1970-04-30 00:00:00,4.6
1970-03-31 00:00:00,4.4
1970-02-28 00:00:00,4.2
1970-01-31 00:00:00,3.9
1969-12-31 00:00:00,3.5
1969-11-30 00:00:00,3.5
1969-10-31 00:00:00,3.7
1969-09-30 00:00:00,3.7
1969-08-31 00:00:00,3.5
1969-07-31 00:00:00,3.5
1969-06-30 00:00:00,3.5
1969-05-31 00:00:00,3.4
1969-04-30 00:00:00,3.4
1969-03-31 00:00:00,3.4
1969-02-28 00:00:00,3.4
1969-01-31 00:00:00,3.4
1968-12-31 00:00:00,3.4
1968-11-30 00:00:00,3.4
1968-10-31 00:00:00,3.4
1968-09-30 00:00:00,3.4
1968-08-31 00:00:00,3.5
1968-07-31 00:00:00,3.7
1968-06-30 00:00:00,3.7
1968-05-31 00:00:00,3.5
1968-04-30 00:00:00,3.5
1968-03-31 00:00:00,3.7
1968-02-29 00:00:00,3.8
1968-01-31 00:00:00,3.7
1967-12-31 00:00:00,3.8
1967-11-30 00:00:00,3.9
1967-10-31 00:00:00,4.0
1967-09-30 00:00:00,3.8
1967-08-31 00:00:00,3.8
1967-07-31 00:00:00,3.8
1967-06-30 00:00:00,3.9
1967-05-31 00:00:00,3.8
1967-04-30 00:00:00,3.8
1967-03-31 00:00:00,3.8
1967-02-28 00:00:00,3.8
1967-01-31 00:00:00,3.9
1966-12-31 00:00:00,3.8
1966-11-30 00:00:00,3.6
1966-10-31 00:00:00,3.7
1966-09-30 00:00:00,3.7
1966-08-31 00:00:00,3.8
1966-07-31 00:00:00,3.8
1966-06-30 00:00:00,3.8
1966-05-31 00:00:00,3.9
1966-04-30 00:00:00,3.8
1966-03-31 00:00:00,3.8
1966-02-28 00:00:00,3.8
1966-01-31 00:00:00,4.0
1965-12-31 00:00:00,4.0
1965-11-30 00:00:00,4.1
1965-10-31 00:00:00,4.2
1965-09-30 00:00:00,4.3
1965-08-31 00:00:00,4.4
1965-07-31 00:00:00,4.4
1965-06-30 00:00:00,4.6
1965-05-31 00:00:00,4.6
1965-04-30 00:00:00,4.8
1965-03-31 00:00:00,4.7
1965-02-28 00:00:00,5.1
1965-01-31 00:00:00,4.9
1964-12-31 00:00:00,5.0
1964-11-30 00:00:00,4.8
1964-10-31 00:00:00,5.1
1964-09-30 00:00:00,5.1
1964-08-31 00:00:00,5.0
1964-07-31 00:00:00,4.9
1964-06-30 00:00:00,5.2
1964-05-31 00:00:00,5.1
1964-04-30 00:00:00,5.3
1964-03-31 00:00:00,5.4
1964-02-29 00:00:00,5.4
1964-01-31 00:00:00,5.6
1963-12-31 00:00:00,5.5
1963-11-30 00:00:00,5.7
1963-10-31 00:00:00,5.5
1963-09-30 00:00:00,5.5
1963-08-31 00:00:00,5.4
1963-07-31 00:00:00,5.6
1963-06-30 00:00:00,5.6
1963-05-31 00:00:00,5.9
1963-04-30 00:00:00,5.7
1963-03-31 00:00:00,5.7
1963-02-28 00:00:00,5.9
1963-01-31 00:00:00,5.7
1962-12-31 00:00:00,5.5
1962-11-30 00:00:00,5.7
1962-10-31 00:00:00,5.4
1962-09-30 00:00:00,5.6
1962-08-31 00:00:00,5.7
1962-07-31 00:00:00,5.4
1962-06-30 00:00:00,5.5
1962-05-31 00:00:00,5.5
1962-04-30 00:00:00,5.6
1962-03-31 00:00:00,5.6
1962-02-28 00:00:00,5.5
1962-01-31 00:00:00,5.8
1961-12-31 00:00:00,6.0
1961-11-30 00:00:00,6.1
1961-10-31 00:00:00,6.5
1961-09-30 00:00:00,6.7
1961-08-31 00:00:00,6.6
1961-07-31 00:00:00,7.0
1961-06-30 00:00:00,6.9
1961-05-31 00:00:00,7.1
1961-04-30 00:00:00,7.0
1961-03-31 00:00:00,6.9
1961-02-28 00:00:00,6.9
1961-01-31 00:00:00,6.6
1960-12-31 00:00:00,6.6
1960-11-30 00:00:00,6.1
1960-10-31 00:00:00,6.1
1960-09-30 00:00:00,5.5
1960-08-31 00:00:00,5.6
1960-07-31 00:00:00,5.5
1960-06-30 00:00:00,5.4
1960-05-31 00:00:00,5.1
1960-04-30 00:00:00,5.2
1960-03-31 00:00:00,5.4
1960-02-29 00:00:00,4.8
1960-01-31 00:00:00,5.2
1959-12-31 00:00:00,5.3
1959-11-30 00:00:00,5.8
1959-10-31 00:00:00,5.7
1959-09-30 00:00:00,5.5
1959-08-31 00:00:00,5.2
1959-07-31 00:00:00,5.1
1959-06-30 00:00:00,5.0
1959-05-31 00:00:00,5.1
1959-04-30 00:00:00,5.2
1959-03-31 00:00:00,5.6
1959-02-28 00:00:00,5.9
1959-01-31 00:00:00,6.0
1958-12-31 00:00:00,6.2
1958-11-30 00:00:00,6.2
1958-10-31 00:00:00,6.7
1958-09-30 00:00:00,7.1
1958-08-31 00:00:00,7.4
1958-07-31 00:00:00,7.5
1958-06-30 00:00:00,7.3
1958-05-31 00:00:00,7.4
1958-04-30 00:00:00,7.4
1958-03-31 00:00:00,6.7
1958-02-28 00:00:00,6.4
1958-01-31 00:00:00,5.8
1957-12-31 00:00:00,5.2
1957-11-30 00:00:00,5.1
1957-10-31 00:00:00,4.5
1957-09-30 00:00:00,4.4
1957-08-31 00:00:00,4.1
